Address,City,ZipCode,Bedrooms,Bathrooms,SquareFeet,ListedPrice,RentEstimate,MonthlyCost,
2155 Enchanted Brook Dr ,1,79911,4,3,1914,239950,1750,2204.805284,
12817 Cozy Cove Ave ,1,79938,4,2,1711,260000,1895,2388.889368,
1518 Dale Douglas Dr ,1,79936,3,2,1704,195000,1850,1843.117026,
11521 Lucio Moreno Dr ,1,79934,3,2.5,2288,389000,2100,3485.920631,
1141 E Baltimore Dr ,1,79902,2,1,904,319000,1000,2771.981186,
305 Kent Ave ,1,79922,3,2,1873,285000,1635,2565.524884,
321 Rio Pinsaqui Ct ,1,79932,5,6,2995,629900,3100,5608.623664,
3428 Wyoming Ave ,1,79903,2,1,940,165000,975,1488.714406,
7808 Enchanted Dr ,1,79911,3,2.5,1942,334950,2135,3040.780245,
11325 Bullseye St ,1,79934,4,3,2311,300000,2000,2734.026193,
11116 Sea Foam Way ,1,79936,4,2,1822,284500,1750,2575.168173,
4649 Leeds Ave ,1,79903,3,2,1716,199950,1800,1878.268458,
12272 Hartlepool Dr ,1,79928,3,4,2548,425000,1995,3772.603774,
11032 Don January Dr ,1,79935,5,5,4282,880000,3300,7711.810168,
693 Milton Henry Ave ,1,79932,3,2,1504,244900,1500,2215.956716,
5980 Valle Del Sol Dr ,1,79924,3,2,1092,169950,1175,1553.865839,
809 N San Marcial St ,1,79903,3,1,1148,140000,1350,1325.87889,
8808 Cosmos Ave ,1,79925,3,3,2508,325000,2125,2956.86171,
14455 Alyssa Marie Dr ,1,79938,5,2.5,2547,312500,2535,2902.143952,
12000 Van Gogh Dr ,1,79936,3,2,1738,235000,1735,2161.853852,
9200 Breish Ct ,1,79925,5,3,3655,469999,1900,4135.29939,
11475 Summer Drive or B Dr Unit A ,1,79927,4,2.5,1515,229500,1650,2105.930038,
2061 Thunder Ridge Dr ,1,79938,4,2.5,2217,310000,1985,2815.3604,
12253 Costa Brava Pl ,1,79938,5,4,4418,660000,3000,5846.857626,
4549 Loma Linda Cir ,1,79934,3,2,1259,183000,1275,1674.355978,
6225 Brillo Luna St ,1,79932,3,2,1730,294900,1545,2637.027748,
6853 Inca Dove Dr ,1,79911,3,2,1597,299999,1895,2721.41788,
5749 Mira Grande Dr ,1,79912,3,2.5,2033,359000,2250,3254.518012,
411 San Pablo Pl ,1,79915,3,2,1108,150000,1795,1462.413097,
4201 Marcus Uribe Dr ,1,79934,4,3.5,3166,380000,3100,3531.099845,
5127 Temple Ct ,1,79924,4,3,2516,219000,2300,2096.639121,
5456 Ignacio Frias Dr ,1,79934,4,2,1454,235000,1550,2139.653852,
3126 Frankfort Ave ,1,79930,3,2,1640,220000,1650,2026.952542,
14572 Escalera Dr ,1,79928,3,2,1184,184500,1425,1704.826109,
4803 Tholos Ct ,1,79924,3,2,1710,148000,1285,1384.586255,
1360 Pearl Gate Pl ,1,79936,4,3,3365,520000,3000,4682.978735,
7029 Copper Canyon Dr ,1,79934,3,2,1514,209500,1500,1921.661625,
10544 Breezeway Ave ,1,79925,4,2,1626,263000,1590,2377.22963,
3710 Moonlight Ave ,1,79904,3,4,1911,185000,1750,1747.982819,
8398 Beverly Pl ,1,79907,5,4,1878,325000,1750,2911.86171,
6231 Taos Dr ,1,79905,3,1,950,80000,1200,809.0736516,
3920 Hueco Valley Dr ,1,79938,4,2.5,1642,239900,1800,2210.389613,
12405 Norte Chico ,1,79934,4,3,1935,297950,1750,2686.983681,
14328 Desert Point Dr ,0,79928,3,2,1302,210000,1450,1919.818335,
10100 Woodway Dr ,1,79925,4,3,2495,575000,3500,5200.216871,
908 W Yandell Dr ,1,79902,5,4,3827,599000,3300,5375.738966,
51061 Fox Ave ,1,79934,4,2,1824,288950,1750,2612.162895,
2806 Polk Ave ,1,79930,3,2,1568,214888,1800,2002.454336,
1271 Desert Sky Pl ,1,79912,4,3,2586,520000,3200,4706.978735,
5237 LA Taste Ave ,1,79924,3,2,1860,248000,1500,2241.72832,
328 Crestmont Dr ,1,79912,3,3,1942,260000,1750,2371.489368,
6385 Calle Placido Dr ,1,79912,5,6,3755,749000,3300,6622.752063,
1901 Octubre Dr ,1,79935,3,2,2350,285000,2800,2705.324884,
9720 El Tepeyac Ave ,1,79927,3,2,1652,178000,1730,1687.388875,
12126 Alex Guerrero Cir ,1,79936,3,3,2232,303333,2500,2821.734824,
11677 Andrienne Dr ,1,79936,3,3,2622,295000,2150,2710.45909,
7204 Raton Dr ,1,79915,3,1.5,2078,125000,1695,1242.577581,
5109 Temple Ct ,1,79924,4,2,2168,255000,2700,2443.922264,
14708 Cactus View Ct ,0,79928,4,3,1502,229900,1600,2103.255406,
12364 Tierra Apache Rd ,1,79938,3,2,1028,185000,1300,1693.982819,
6236 Franklin Hawk Ave ,1,79912,4,3,3296,600000,3520,5410.452387,
11285 Cattle Ranch St ,1,79934,4,3,1514,250000,1600,2270.355161,
1085 Paseo De Suerte Dr ,1,79928,5,2.5,2584,335000,1630,2980.595916,
2508 Sea Palm Dr ,1,79936,4,2,1767,249999,1695,2281.746848,
1420 Via Quijano Ln ,1,79912,6,4.5,5117,2100000,3300,17854.18335,
3722 Frankfort Ave ,1,79930,3,2,1554,215000,1800,2003.385439,
1980 Paseo Granada Ln ,1,79936,4,3,3282,599000,3000,5339.738966,
8939A Comet St ,1,79904,3,2,1162,114400,1350,1113.055322,
1207 Colina Blanca Pl ,0,79928,4,2,1625,199950,1590,1853.068458,
1004 Los Jardines Cir ,1,79912,3,3,2208,434000,2285,3882.22456,
6340 Franklin Red Dr ,1,79912,4,4,3234,615000,3520,5535.153697,
5534 Oakbriar Cir ,1,79932,4,3,2149,287500,1900,2618.108435,
11731 Socorro Rd ,1,79927,4,2.5,4126,380000,2200,3423.099845,
7853 Enchanted Trail Dr ,1,79911,3,2,1695,315000,2000,2858.727503,
370 Morning Star Dr ,1,79912,5,5,5219,899999,3300,7878.070267,
3409 Hixson St ,1,79902,4,2.5,1935,580000,1990,5060.583974,
624 Ramsgate Rd ,1,79907,5,3,3692,375000,3520,3539.932742,
401 S Festival Dr ,1,79912,3,3,2318,529000,2285,4671.999521,
937 Destello Rd ,1,79907,2,1,960,140900,975,1288.360969,
1601 Sugar Goodman Ct ,1,79911,4,3.5,2930,379900,3000,3518.268503,
3209 Mocha Freeze St ,1,79938,4,2,1687,234999,1725,2160.645538,
4119 Broaddus Ave ,1,79904,3,1,1124,130000,1350,1242.744684,
11833 E Vitex Cir ,1,79936,3,2,1621,215000,1900,2015.385439,
1404 Ange St ,1,79902,2,1,818,149900,800,1342.181755,
12780 Indian Canyon Dr ,1,79928,3,3,2566,343635,2150,3114.782303,
708 Chatham Pl ,1,79928,4,3,2061,399950,2600,3636.952587,
6233 Grace Madriles Pl ,1,79932,5,2,1781,259900,2500,2460.658026,
2321 N Piedras St ,1,79930,4,2,1668,103000,1590,1047.082326,
6207 Weems Ct ,1,79905,3,2,1428,145000,1350,1367.445994,
533 Rosinante Rd ,1,79922,4,3,3155,699000,1900,6039.081031,
740 Castile Ave ,1,79912,4,3,2074,322580,3000,3041.743232,
6263 Viale Del Sol Ave ,1,79932,3,2.5,2288,299950,2100,2745.610522,
633 Bir Cir ,1,79932,4,5,3165,775425,3100,6818.434204,
6416 Pino Real Dr ,1,79912,5,3,3572,325000,3520,3124.26171,
910 Mesita Dr ,1,79902,3,2,1716,429500,1800,3786.614167,
371 Rocky Pointe Dr ,1,79912,6,6,7147,2350000,3300,19932.53852,
9634 Blue Wing Dr ,1,79924,4,2,1722,179950,1835,1716.200045,
51041 Fox Ave ,1,79934,4,2.5,2142,309950,2095,2828.144729,
12237 Biddleston Dr ,1,79928,4,3,2589,598950,2500,5279.323295,
7361 Cimarron Gap Dr ,1,79911,4,3,2173,499000,2695,4471.796902,
6509 Harapon St ,1,79932,4,2,1898,379600,2100,3407.774477,
716 Carabinas Way ,1,79922,3,2,1426,210000,1795,1961.218335,
11512 Robert Lennox Dr ,1,79934,4,2.5,2344,290000,1900,2638.891987,
10901 Dave Marr Ct ,1,79935,4,4,4897,850000,3300,7462.407548,
700 Cervantes Ct ,1,79922,4,4,3432,650000,3100,5775.723419,
